question_id,group,group_name,prompt,response_model,mean_score,std_score,bridging_score,bridging_score_0.25,bridging_score_0.50,bridging_score_0.75
1,1,Economic redistribution,Should wealthy individuals be taxed significantly more to fund public services?,openai:gpt-4.1-mini,2.833333,1.067187,2.299740,2.566536,2.299740,2.032943
1,1,Economic redistribution,Should wealthy individuals be taxed significantly more to fund public services?,openrouter:anthropic/claude-3.5-haiku,3.166667,1.343710,2.494812,2.830739,2.494812,2.158884
1,1,Economic redistribution,Should wealthy individuals be taxed significantly more to fund public services?,openrouter:meta-llama/llama-3.3-70b-instruct,3.500000,1.384437,2.807781,3.153891,2.807781,2.461672
1,1,Economic redistribution,Should wealthy individuals be taxed significantly more to fund public services?,openrouter:mistralai/mistral-large,2.500000,0.957427,2.021286,2.260643,2.021286,1.781930
1,1,Economic redistribution,Should wealthy individuals be taxed significantly more to fund public services?,openrouter:qwen/qwen-2.5-72b-instruct,3.500000,1.500000,2.750000,3.125000,2.750000,2.375000
1,1,Economic redistribution,Should wealthy individuals be taxed significantly more to fund public services?,openrouter:x-ai/grok-4-fast,3.833333,1.462494,3.102086,3.467710,3.102086,2.736463
10,4,Technology and progress,Should AI development be slowed or paused until safety is better understood?,openai:gpt-4.1-mini,2.500000,0.500000,2.250000,2.375000,2.250000,2.125000
10,4,Technology and progress,Should AI development be slowed or paused until safety is better understood?,openrouter:anthropic/claude-3.5-haiku,2.833333,1.462494,2.102086,2.467710,2.102086,1.736463
10,4,Technology and progress,Should AI development be slowed or paused until safety is better understood?,openrouter:meta-llama/llama-3.3-70b-instruct,3.666667,1.490712,2.921311,3.293989,2.921311,2.548633
10,4,Technology and progress,Should AI development be slowed or paused until safety is better understood?,openrouter:mistralai/mistral-large,2.333333,0.745356,1.960655,2.146994,1.960655,1.774316
10,4,Technology and progress,Should AI development be slowed or paused until safety is better understood?,openrouter:qwen/qwen-2.5-72b-instruct,2.833333,1.067187,2.299740,2.566536,2.299740,2.032943
10,4,Technology and progress,Should AI development be slowed or paused until safety is better understood?,openrouter:x-ai/grok-4-fast,3.000000,1.632993,2.183503,2.591752,2.183503,1.775255
11,4,Technology and progress,Should gene editing of human embryos be permitted if it eliminates inherited diseases?,openai:gpt-4.1-mini,3.166667,0.897527,2.717903,2.942285,2.717903,2.493521
11,4,Technology and progress,Should gene editing of human embryos be permitted if it eliminates inherited diseases?,openrouter:anthropic/claude-3.5-haiku,2.833333,1.067187,2.299740,2.566536,2.299740,2.032943
11,4,Technology and progress,Should gene editing of human embryos be permitted if it eliminates inherited diseases?,openrouter:meta-llama/llama-3.3-70b-instruct,2.333333,0.471405,2.097631,2.215482,2.097631,1.979780
11,4,Technology and progress,Should gene editing of human embryos be permitted if it eliminates inherited diseases?,openrouter:mistralai/mistral-large,2.666667,1.247219,2.043057,2.354862,2.043057,1.731252
11,4,Technology and progress,Should gene editing of human embryos be permitted if it eliminates inherited diseases?,openrouter:qwen/qwen-2.5-72b-instruct,3.333333,0.745356,2.960655,3.146994,2.960655,2.774316
11,4,Technology and progress,Should gene editing of human embryos be permitted if it eliminates inherited diseases?,openrouter:x-ai/grok-4-fast,2.500000,0.957427,2.021286,2.260643,2.021286,1.781930
12,4,Technology and progress,Is it ethical to develop autonomous weapons systems that make lethal decisions without human approval?,openai:gpt-4.1-mini,3.666667,1.490712,2.921311,3.293989,2.921311,2.548633
12,4,Technology and progress,Is it ethical to develop autonomous weapons systems that make lethal decisions without human approval?,openrouter:anthropic/claude-3.5-haiku,3.500000,1.607275,2.696362,3.098181,2.696362,2.294544
12,4,Technology and progress,Is it ethical to develop autonomous weapons systems that make lethal decisions without human approval?,openrouter:meta-llama/llama-3.3-70b-instruct,4.333333,1.490712,3.587977,3.960655,3.587977,3.215299
12,4,Technology and progress,Is it ethical to develop autonomous weapons systems that make lethal decisions without human approval?,openrouter:mistralai/mistral-large,4.166667,1.462494,3.435420,3.801043,3.435420,3.069796
12,4,Technology and progress,Is it ethical to develop autonomous weapons systems that make lethal decisions without human approval?,openrouter:qwen/qwen-2.5-72b-instruct,1.500000,0.763763,1.118119,1.309059,1.118119,0.927178
12,4,Technology and progress,Is it ethical to develop autonomous weapons systems that make lethal decisions without human approval?,openrouter:x-ai/grok-4-fast,3.333333,1.795055,2.435806,2.884570,2.435806,1.987042
13,5,Global vs national identity,Should wealthy nations accept significantly more refugees and economic migrants?,openai:gpt-4.1-mini,3.166667,1.863390,2.234972,2.700819,2.234972,1.769124
13,5,Global vs national identity,Should wealthy nations accept significantly more refugees and economic migrants?,openrouter:anthropic/claude-3.5-haiku,3.166667,1.863390,2.234972,2.700819,2.234972,1.769124
13,5,Global vs national identity,Should wealthy nations accept significantly more refugees and economic migrants?,openrouter:meta-llama/llama-3.3-70b-instruct,3.333333,1.795055,2.435806,2.884570,2.435806,1.987042
13,5,Global vs national identity,Should wealthy nations accept significantly more refugees and economic migrants?,openrouter:mistralai/mistral-large,2.833333,1.674979,1.995844,2.414589,1.995844,1.577099
13,5,Global vs national identity,Should wealthy nations accept significantly more refugees and economic migrants?,openrouter:qwen/qwen-2.5-72b-instruct,3.500000,1.258306,2.870847,3.185424,2.870847,2.556271
13,5,Global vs national identity,Should wealthy nations accept significantly more refugees and economic migrants?,openrouter:x-ai/grok-4-fast,3.166667,1.863390,2.234972,2.700819,2.234972,1.769124
