question_id,group,group_name,prompt,response_model,mean_score,std_score,bridging_score,bridging_score_0.25,bridging_score_0.50,bridging_score_0.75
1,1,Economic redistribution,Should wealthy individuals be taxed significantly more to fund public services?,openai:gpt-4.1-mini,3.333333,1.105542,2.780563,3.056948,2.780563,2.504177
1,1,Economic redistribution,Should wealthy individuals be taxed significantly more to fund public services?,openrouter:anthropic/claude-3.5-haiku,2.833333,1.067187,2.299740,2.566536,2.299740,2.032943
1,1,Economic redistribution,Should wealthy individuals be taxed significantly more to fund public services?,openrouter:x-ai/grok-4-fast,2.833333,0.897527,2.384570,2.608951,2.384570,2.160188
10,4,Technology and progress,Should AI development be slowed or paused until safety is better understood?,openai:gpt-4.1-mini,2.500000,0.500000,2.250000,2.375000,2.250000,2.125000
10,4,Technology and progress,Should AI development be slowed or paused until safety is better understood?,openrouter:anthropic/claude-3.5-haiku,2.833333,1.343710,2.161479,2.497406,2.161479,1.825551
10,4,Technology and progress,Should AI development be slowed or paused until safety is better understood?,openrouter:x-ai/grok-4-fast,2.666667,1.247219,2.043057,2.354862,2.043057,1.731252
11,4,Technology and progress,Should gene editing of human embryos be permitted if it eliminates inherited diseases?,openai:gpt-4.1-mini,3.166667,1.067187,2.633073,2.899870,2.633073,2.366276
11,4,Technology and progress,Should gene editing of human embryos be permitted if it eliminates inherited diseases?,openrouter:anthropic/claude-3.5-haiku,2.833333,1.067187,2.299740,2.566536,2.299740,2.032943
11,4,Technology and progress,Should gene editing of human embryos be permitted if it eliminates inherited diseases?,openrouter:x-ai/grok-4-fast,2.833333,0.687184,2.489741,2.661537,2.489741,2.317945
12,4,Technology and progress,Is it ethical to develop autonomous weapons systems that make lethal decisions without human approval?,openai:gpt-4.1-mini,3.333333,1.795055,2.435806,2.884570,2.435806,1.987042
12,4,Technology and progress,Is it ethical to develop autonomous weapons systems that make lethal decisions without human approval?,openrouter:anthropic/claude-3.5-haiku,3.333333,1.795055,2.435806,2.884570,2.435806,1.987042
12,4,Technology and progress,Is it ethical to develop autonomous weapons systems that make lethal decisions without human approval?,openrouter:x-ai/grok-4-fast,3.666667,1.490712,2.921311,3.293989,2.921311,2.548633
13,5,Global vs national identity,Should wealthy nations accept significantly more refugees and economic migrants?,openai:gpt-4.1-mini,3.333333,1.795055,2.435806,2.884570,2.435806,1.987042
13,5,Global vs national identity,Should wealthy nations accept significantly more refugees and economic migrants?,openrouter:anthropic/claude-3.5-haiku,3.000000,1.732051,2.133975,2.566987,2.133975,1.700962
13,5,Global vs national identity,Should wealthy nations accept significantly more refugees and economic migrants?,openrouter:x-ai/grok-4-fast,3.166667,1.863390,2.234972,2.700819,2.234972,1.769124
14,5,Global vs national identity,Should national governments prioritise the welfare of their own citizens over global humanitarian needs?,openai:gpt-4.1-mini,2.833333,1.343710,2.161479,2.497406,2.161479,1.825551
14,5,Global vs national identity,Should national governments prioritise the welfare of their own citizens over global humanitarian needs?,openrouter:anthropic/claude-3.5-haiku,2.833333,1.343710,2.161479,2.497406,2.161479,1.825551
14,5,Global vs national identity,Should national governments prioritise the welfare of their own citizens over global humanitarian needs?,openrouter:x-ai/grok-4-fast,2.666667,1.490712,1.921311,2.293989,1.921311,1.548633
15,5,Global vs national identity,Should global institutions like the UN have binding authority over national governments on climate policy?,openai:gpt-4.1-mini,3.000000,1.154701,2.422650,2.711325,2.422650,2.133975
15,5,Global vs national identity,Should global institutions like the UN have binding authority over national governments on climate policy?,openrouter:anthropic/claude-3.5-haiku,3.000000,1.000000,2.500000,2.750000,2.500000,2.250000
15,5,Global vs national identity,Should global institutions like the UN have binding authority over national governments on climate policy?,openrouter:x-ai/grok-4-fast,2.833333,1.863390,1.901638,2.367486,1.901638,1.435791
16,6,AI and values,Should AI systems reflect the values of the culture they are deployed in even if those values conflict with liberal Western norms?,openai:gpt-4.1-mini,2.333333,0.471405,2.097631,2.215482,2.097631,1.979780
16,6,AI and values,Should AI systems reflect the values of the culture they are deployed in even if those values conflict with liberal Western norms?,openrouter:anthropic/claude-3.5-haiku,3.166667,0.372678,2.980328,3.073497,2.980328,2.887158
16,6,AI and values,Should AI systems reflect the values of the culture they are deployed in even if those values conflict with liberal Western norms?,openrouter:x-ai/grok-4-fast,2.333333,0.471405,2.097631,2.215482,2.097631,1.979780
17,6,AI and values,Who should decide what values an AI system holds — its developers and governments or the public?,openai:gpt-4.1-mini,2.666667,1.105542,2.113896,2.390281,2.113896,1.837510
17,6,AI and values,Who should decide what values an AI system holds — its developers and governments or the public?,openrouter:anthropic/claude-3.5-haiku,3.333333,1.247219,2.709724,3.021529,2.709724,2.397919
17,6,AI and values,Who should decide what values an AI system holds — its developers and governments or the public?,openrouter:x-ai/grok-4-fast,3.166667,0.897527,2.717903,2.942285,2.717903,2.493521
18,6,AI and values,Is it acceptable for an AI to refuse a user request on moral grounds?,openai:gpt-4.1-mini,3.166667,0.372678,2.980328,3.073497,2.980328,2.887158
18,6,AI and values,Is it acceptable for an AI to refuse a user request on moral grounds?,openrouter:anthropic/claude-3.5-haiku,4.000000,0.577350,3.711325,3.855662,3.711325,3.566987
18,6,AI and values,Is it acceptable for an AI to refuse a user request on moral grounds?,openrouter:x-ai/grok-4-fast,3.500000,0.957427,3.021286,3.260643,3.021286,2.781930
19,1,Economic redistribution,Should there be a maximum limit on personal wealth or income?,openai:gpt-4.1-mini,2.166667,0.687184,1.823075,1.994871,1.823075,1.651278
19,1,Economic redistribution,Should there be a maximum limit on personal wealth or income?,openrouter:anthropic/claude-3.5-haiku,3.000000,1.000000,2.500000,2.750000,2.500000,2.250000
19,1,Economic redistribution,Should there be a maximum limit on personal wealth or income?,openrouter:x-ai/grok-4-fast,2.500000,0.763763,2.118119,2.309059,2.118119,1.927178
2,1,Economic redistribution,Is universal basic income a good policy for modern economies?,openai:gpt-4.1-mini,3.500000,1.384437,2.807781,3.153891,2.807781,2.461672
2,1,Economic redistribution,Is universal basic income a good policy for modern economies?,openrouter:anthropic/claude-3.5-haiku,3.166667,1.213352,2.559991,2.863329,2.559991,2.256653
2,1,Economic redistribution,Is universal basic income a good policy for modern economies?,openrouter:x-ai/grok-4-fast,3.166667,1.343710,2.494812,2.830739,2.494812,2.158884
20,1,Economic redistribution,Should inheritance tax be significantly increased to reduce intergenerational wealth inequality?,openai:gpt-4.1-mini,3.333333,1.374369,2.646149,2.989741,2.646149,2.302557
20,1,Economic redistribution,Should inheritance tax be significantly increased to reduce intergenerational wealth inequality?,openrouter:anthropic/claude-3.5-haiku,3.166667,1.462494,2.435420,2.801043,2.435420,2.069796
20,1,Economic redistribution,Should inheritance tax be significantly increased to reduce intergenerational wealth inequality?,openrouter:x-ai/grok-4-fast,3.166667,1.462494,2.435420,2.801043,2.435420,2.069796
21,1,Economic redistribution,Should corporations be legally required to give employees a share of company profits?,openai:gpt-4.1-mini,3.166667,1.572330,2.380502,2.773584,2.380502,1.987419
21,1,Economic redistribution,Should corporations be legally required to give employees a share of company profits?,openrouter:anthropic/claude-3.5-haiku,3.500000,0.763763,3.118119,3.309059,3.118119,2.927178
21,1,Economic redistribution,Should corporations be legally required to give employees a share of company profits?,openrouter:x-ai/grok-4-fast,3.333333,1.374369,2.646149,2.989741,2.646149,2.302557
22,2,Individual vs collective rights,Should the state have the right to remove children from religious households that refuse secular education?,openai:gpt-4.1-mini,3.166667,0.687184,2.823075,2.994871,2.823075,2.651278
