id,session_id,question_id,model,score,reasoning,created_at
a650a956-8cf3-41c1-80d7-26e7e49804dd,73bed34a-52c5-4837-8ce8-6108aac31166,17,openai:gpt-4.1-mini,1,,2026-04-03 23:08:01.719114
2ed481ff-e9fc-4b78-88bc-8ae5252c5e2b,73bed34a-52c5-4837-8ce8-6108aac31166,5,openrouter:x-ai/grok-4-fast,3,,2026-04-03 23:08:02.603289
a15541ac-dd8d-44a2-8631-e2891a4dcc48,73bed34a-52c5-4837-8ce8-6108aac31166,3,openrouter:anthropic/claude-3.5-haiku,4,,2026-04-03 23:08:03.354225
9c36aa08-77d5-433d-8842-e90d48f34862,73bed34a-52c5-4837-8ce8-6108aac31166,7,openrouter:x-ai/grok-4-fast,5,,2026-04-03 23:08:03.921220
e8e41472-6526-46e7-bd93-454d69ec5e3e,73bed34a-52c5-4837-8ce8-6108aac31166,9,openai:gpt-4.1-mini,3,,2026-04-03 23:08:05.697306
586580f4-bf4b-4fd4-a33c-f57e07f82df5,73bed34a-52c5-4837-8ce8-6108aac31166,5,openrouter:anthropic/claude-3.5-haiku,4,,2026-04-03 23:08:07.419567
7506bf74-f064-4385-be4f-f2c9d517a987,73bed34a-52c5-4837-8ce8-6108aac31166,2,openrouter:x-ai/grok-4-fast,4,,2026-04-03 23:08:09.487297
a4e7acb7-c57e-4d30-8c94-77af6c92f140,73bed34a-52c5-4837-8ce8-6108aac31166,3,openrouter:x-ai/grok-4-fast,2,,2026-04-03 23:08:10.482540
e94f3cc2-a1a6-4eb1-b3f1-c618f3d7a1ca,71e23b0a-dc6e-48ca-b8c7-a9d498d4d85a,5,openai:gpt-4.1-mini,3,,2026-04-03 23:15:58.964222
7f5d2d36-6fdd-47cd-83ea-107fcffe2f33,71e23b0a-dc6e-48ca-b8c7-a9d498d4d85a,5,openrouter:x-ai/grok-4-fast,4,,2026-04-03 23:16:00.271933
7fa8f26d-4beb-4661-8e55-4ec00bc324d9,71e23b0a-dc6e-48ca-b8c7-a9d498d4d85a,1,openrouter:anthropic/claude-3.5-haiku,3,,2026-04-03 23:16:00.968349
aac79e89-4ecf-4ab8-91db-824ef27f0765,71e23b0a-dc6e-48ca-b8c7-a9d498d4d85a,1,openai:gpt-4.1-mini,4,,2026-04-03 23:16:01.691917
6c63cc7c-10ec-4731-986c-11411fb380ec,71e23b0a-dc6e-48ca-b8c7-a9d498d4d85a,1,openrouter:x-ai/grok-4-fast,2,,2026-04-03 23:16:03.590729
9affea3b-135c-45bd-94fc-a44ec3e5f1ee,71e23b0a-dc6e-48ca-b8c7-a9d498d4d85a,6,openrouter:anthropic/claude-3.5-haiku,3,,2026-04-03 23:16:04.369135
e5946bce-0d10-4ab6-b571-e4b0728e5dfd,71e23b0a-dc6e-48ca-b8c7-a9d498d4d85a,11,openrouter:x-ai/grok-4-fast,4,,2026-04-03 23:16:05.549155
7dcb7dc1-f37c-4e0e-805d-46d0f043d727,e0c6d357-936f-45ff-ada7-53d50fcdbc9f,11,openrouter:anthropic/claude-3.5-haiku,2,,2026-04-03 23:31:53.420170
121573eb-732a-4a32-b2bb-ed155e4f0386,e0c6d357-936f-45ff-ada7-53d50fcdbc9f,18,openai:gpt-4.1-mini,3,,2026-04-03 23:31:54.859042
72f3797a-6120-41cd-a622-737f77a44589,e0c6d357-936f-45ff-ada7-53d50fcdbc9f,1,openrouter:x-ai/grok-4-fast,4,,2026-04-03 23:31:55.655117
ce5b06e7-ac14-4baf-8518-e4255862b711,e0c6d357-936f-45ff-ada7-53d50fcdbc9f,16,openrouter:x-ai/grok-4-fast,3,,2026-04-03 23:31:56.358049
d882e4b4-7479-4000-a5f6-2ab046f55c28,e0c6d357-936f-45ff-ada7-53d50fcdbc9f,2,openai:gpt-4.1-mini,5,,2026-04-03 23:31:57.971908
40575145-c0b8-4dec-97aa-c74da245c44e,e0c6d357-936f-45ff-ada7-53d50fcdbc9f,3,openrouter:anthropic/claude-3.5-haiku,4,,2026-04-03 23:31:59.467522
36f40e38-9138-4c0b-a119-a2b58770598b,1f5f0a61-9205-44e2-8eae-f9983a201e1f,10,openrouter:anthropic/claude-3.5-haiku,3,,2026-04-03 23:32:26.783808
05269bcb-33b8-4b32-b84e-988e9190c9fe,1f5f0a61-9205-44e2-8eae-f9983a201e1f,11,openrouter:x-ai/grok-4-fast,4,,2026-04-03 23:32:27.332096
90e50f68-ac5d-4c6c-8d4f-7320c43cf858,1f5f0a61-9205-44e2-8eae-f9983a201e1f,9,openrouter:x-ai/grok-4-fast,5,,2026-04-03 23:32:27.961205
a4ae2bf5-19fc-4d9f-8064-a52a60794c23,1f5f0a61-9205-44e2-8eae-f9983a201e1f,17,openai:gpt-4.1-mini,2,,2026-04-03 23:32:28.516743
5b9e37cb-1602-4fc5-86c1-50adb8271da3,1f5f0a61-9205-44e2-8eae-f9983a201e1f,5,openrouter:anthropic/claude-3.5-haiku,3,,2026-04-03 23:32:29.060712
8571cb00-6e6e-496d-8d1f-f2620e994681,1f5f0a61-9205-44e2-8eae-f9983a201e1f,8,openai:gpt-4.1-mini,4,,2026-04-03 23:32:29.493646
35ffe7ce-fcec-4b58-a4db-a4a9e31a9fb2,92107537-41e7-4667-b7a4-03753935efa3,17,openrouter:x-ai/grok-4-fast,4,,2026-04-03 23:34:45.359880
8a32299b-2261-49b5-b30d-1e7c6a72215b,92107537-41e7-4667-b7a4-03753935efa3,11,openrouter:anthropic/claude-3.5-haiku,4,,2026-04-03 23:34:48.998860
efa0ef1f-290c-4bf5-8f87-062ad8b43456,92107537-41e7-4667-b7a4-03753935efa3,12,openai:gpt-4.1-mini,3,,2026-04-03 23:34:49.977312
702b3ffc-67f6-456d-a733-a5f348f1c8ee,92107537-41e7-4667-b7a4-03753935efa3,11,openai:gpt-4.1-mini,4,,2026-04-03 23:34:50.801441
bcb54350-3984-4c9b-92fd-c83610940429,92107537-41e7-4667-b7a4-03753935efa3,10,openrouter:x-ai/grok-4-fast,5,,2026-04-03 23:34:51.643364
8047f143-f34f-425c-bb45-7b449d23b065,92107537-41e7-4667-b7a4-03753935efa3,17,openrouter:anthropic/claude-3.5-haiku,4,,2026-04-03 23:34:54.021138
