question_id,group,group_name,prompt,response_model,mean_score,std_score,bridging_score,bridging_score_0.25,bridging_score_0.50,bridging_score_0.75
1,1,Economic redistribution,Should wealthy individuals be taxed significantly more to fund public services?,openai:gpt-4.1-mini,2.833333,0.897527,2.384570,2.608951,2.384570,2.160188
1,1,Economic redistribution,Should wealthy individuals be taxed significantly more to fund public services?,openrouter:anthropic/claude-3.5-haiku,3.333333,1.374369,2.646149,2.989741,2.646149,2.302557
1,1,Economic redistribution,Should wealthy individuals be taxed significantly more to fund public services?,openrouter:x-ai/grok-4-fast,4.000000,1.527525,3.236237,3.618119,3.236237,2.854356
10,4,Technology and progress,Should AI development be slowed or paused until safety is better understood?,openai:gpt-4.1-mini,2.833333,0.687184,2.489741,2.661537,2.489741,2.317945
10,4,Technology and progress,Should AI development be slowed or paused until safety is better understood?,openrouter:anthropic/claude-3.5-haiku,2.666667,0.745356,2.293989,2.480328,2.293989,2.107650
10,4,Technology and progress,Should AI development be slowed or paused until safety is better understood?,openrouter:x-ai/grok-4-fast,3.333333,1.795055,2.435806,2.884570,2.435806,1.987042
11,4,Technology and progress,Should gene editing of human embryos be permitted if it eliminates inherited diseases?,openai:gpt-4.1-mini,2.333333,1.105542,1.780563,2.056948,1.780563,1.504177
11,4,Technology and progress,Should gene editing of human embryos be permitted if it eliminates inherited diseases?,openrouter:anthropic/claude-3.5-haiku,3.333333,1.374369,2.646149,2.989741,2.646149,2.302557
11,4,Technology and progress,Should gene editing of human embryos be permitted if it eliminates inherited diseases?,openrouter:x-ai/grok-4-fast,2.666667,1.105542,2.113896,2.390281,2.113896,1.837510
12,4,Technology and progress,Is it ethical to develop autonomous weapons systems that make lethal decisions without human approval?,openai:gpt-4.1-mini,3.333333,1.795055,2.435806,2.884570,2.435806,1.987042
12,4,Technology and progress,Is it ethical to develop autonomous weapons systems that make lethal decisions without human approval?,openrouter:anthropic/claude-3.5-haiku,3.333333,1.795055,2.435806,2.884570,2.435806,1.987042
12,4,Technology and progress,Is it ethical to develop autonomous weapons systems that make lethal decisions without human approval?,openrouter:x-ai/grok-4-fast,3.333333,1.795055,2.435806,2.884570,2.435806,1.987042
13,5,Global vs national identity,Should wealthy nations accept significantly more refugees and economic migrants?,openai:gpt-4.1-mini,3.333333,1.795055,2.435806,2.884570,2.435806,1.987042
13,5,Global vs national identity,Should wealthy nations accept significantly more refugees and economic migrants?,openrouter:anthropic/claude-3.5-haiku,3.333333,1.795055,2.435806,2.884570,2.435806,1.987042
13,5,Global vs national identity,Should wealthy nations accept significantly more refugees and economic migrants?,openrouter:x-ai/grok-4-fast,3.166667,1.863390,2.234972,2.700819,2.234972,1.769124
14,5,Global vs national identity,Should national governments prioritise the welfare of their own citizens over global humanitarian needs?,openai:gpt-4.1-mini,2.666667,0.942809,2.195262,2.430964,2.195262,1.959560
14,5,Global vs national identity,Should national governments prioritise the welfare of their own citizens over global humanitarian needs?,openrouter:anthropic/claude-3.5-haiku,3.166667,1.343710,2.494812,2.830739,2.494812,2.158884
14,5,Global vs national identity,Should national governments prioritise the welfare of their own citizens over global humanitarian needs?,openrouter:x-ai/grok-4-fast,2.833333,1.674979,1.995844,2.414589,1.995844,1.577099
15,5,Global vs national identity,Should global institutions like the UN have binding authority over national governments on climate policy?,openai:gpt-4.1-mini,2.666667,1.795055,1.769139,2.217903,1.769139,1.320375
