question_id,axis,axis_name,prompt
1,1,Economic redistribution,Should wealthy individuals be taxed significantly more to fund public services?
2,1,Economic redistribution,Is universal basic income a good policy for modern economies?
3,1,Economic redistribution,Should governments own and operate essential services like water and energy and railways?
4,2,Individual vs collective rights,Should vaccination be mandatory for all citizens without medical exemptions?
5,2,Individual vs collective rights,Should hate speech laws restrict what people are allowed to say in public?
6,2,Individual vs collective rights,Should governments be able to mandate specific diets or lifestyle changes to reduce healthcare costs?
7,3,Cultural and religious values,Should religious symbols be permitted in government buildings and public schools?
8,3,Cultural and religious values,Is it acceptable for parents to raise children exclusively within a strict religious framework with no exposure to secular ideas?
9,3,Cultural and religious values,Should blasphemy — publicly mocking religious beliefs — be socially acceptable?
10,4,Technology and progress,Should AI development be slowed or paused until safety is better understood?
11,4,Technology and progress,Should gene editing of human embryos be permitted if it eliminates inherited diseases?
12,4,Technology and progress,Is it ethical to develop autonomous weapons systems that make lethal decisions without human approval?
13,5,Global vs national identity,Should wealthy nations accept significantly more refugees and economic migrants?
14,5,Global vs national identity,Should national governments prioritise the welfare of their own citizens over global humanitarian needs?
15,5,Global vs national identity,Should global institutions like the UN have binding authority over national governments on climate policy?
16,6,AI and values,Should AI systems reflect the values of the culture they are deployed in even if those values conflict with liberal Western norms?
17,6,AI and values,Who should decide what values an AI system holds — its developers and governments or the public?
18,6,AI and values,Is it acceptable for an AI to refuse a user request on moral grounds?
