persona_a_id,persona_a_name,persona_b_id,persona_b_name,correlation
1,Free Market,2,Collectivist,-0.707
1,Free Market,3,Religious,0.321
1,Free Market,4,Secularist,-0.315
1,Free Market,5,Nationalist,0.362
1,Free Market,6,Globalist,-0.053
1,Free Market,7,Tech Optimist,0.216
1,Free Market,8,Tech Sceptic,0.013
2,Collectivist,3,Religious,-0.322
2,Collectivist,4,Secularist,0.152
2,Collectivist,5,Nationalist,-0.295
2,Collectivist,6,Globalist,0.199
2,Collectivist,7,Tech Optimist,-0.311
2,Collectivist,8,Tech Sceptic,0.041
3,Religious,4,Secularist,-0.027
3,Religious,5,Nationalist,0.185
3,Religious,6,Globalist,-0.261
3,Religious,7,Tech Optimist,-0.077
3,Religious,8,Tech Sceptic,-0.239
4,Secularist,5,Nationalist,-0.189
4,Secularist,6,Globalist,0.317
4,Secularist,7,Tech Optimist,-0.253
4,Secularist,8,Tech Sceptic,-0.149
5,Nationalist,6,Globalist,-0.224
5,Nationalist,7,Tech Optimist,-0.176
5,Nationalist,8,Tech Sceptic,0.243
6,Globalist,7,Tech Optimist,-0.083
6,Globalist,8,Tech Sceptic,0.254
7,Tech Optimist,8,Tech Sceptic,-0.169
