persona_a_id,persona_a_name,persona_b_id,persona_b_name,correlation
1,Libertarian,2,Collectivist,-0.566
1,Libertarian,5,Nationalist,0.337
1,Libertarian,6,Globalist,-0.376
1,Libertarian,7,Tech Optimist,0.325
1,Libertarian,8,Tech Sceptic,-0.113
2,Collectivist,5,Nationalist,-0.257
2,Collectivist,6,Globalist,0.743
2,Collectivist,7,Tech Optimist,-0.135
2,Collectivist,8,Tech Sceptic,0.457
5,Nationalist,6,Globalist,-0.185
5,Nationalist,7,Tech Optimist,-0.002
5,Nationalist,8,Tech Sceptic,0.235
6,Globalist,7,Tech Optimist,-0.133
6,Globalist,8,Tech Sceptic,0.433
7,Tech Optimist,8,Tech Sceptic,-0.260
